service_id,date,exception_type
BALA_01-L-Ma-J-V-1-SCOL17-1111100,20210906,1
J_A21v01-Semaine-1-2022H-1111100,20210906,1
J01v01-Semaine-1-2022H-1111100,20210906,1
J02v01-Semaine-1-2022H-1111100,20210906,1
J03v01-Semaine-1-2022H-1111100,20210906,1
J04v01-Semaine-1-2022H-1111100,20210906,1
J05v01-Semaine-1-2022H-1111100,20210906,1
J06v01-Semaine-1-2022H-1111100,20210906,1
J07v01-Semaine-1-2022H-1111100,20210906,1
J08v01-Semaine-1-2022H-1111100,20210906,1
J09v01-Semaine-1-2022H-1111100,20210906,1
J10v01-Semaine-1-2022H-1111100,20210906,1
J11v01-Semaine-1-2022H-1111100,20210906,1
J12v01-Semaine-1-2022H-1111100,20210906,1
J14v01-Semaine-1-2022H-1111100,20210906,1
N01s01-Lun-Sam-1-2022H-1111110,20210906,1
N02s01-Lun-Sam-1-2022H-1111110,20210906,1
N03s01-Lun-Sam-1-2022H-1111110,20210906,1
SCOL2122-Semaine-9-SCOL17-1000000,20210906,1
SCOL2122-Semaine-9-SCOL17-1100100,20210906,1
SCOL2122-Semaine-9-SCOL17-1101100,20210906,1
SCOL2122-Semaine-9-SCOL17-1111000,20210906,1
SCOL2122-Semaine-9-SCOL17-1111100,20210906,1
L_13PS21-Semaine-31-SUB2021-1111100,20210906,1
L_15PS21-Semaine-31-SUB2021-1111100,20210906,1
L_30PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_30PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_31PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_31PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_32PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_32PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_33PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_33PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_33PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_34PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_34PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_35PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_35PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_35PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_36PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_36PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_36PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_37PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_37PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_38PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_38PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_38PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_39PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_39PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_39PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_41PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_41PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_42PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_42PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_43PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
L_43PS21-Lun-Sam-31-SUB2021-1111100,20210906,1
L_43PS21-Lun-Sam-31-SUB2021-1111110,20210906,1
L_44PS21-Lun-Sam-31-SUB2021-1101100,20210906,1
