stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1AARD,5009,"AVRILLE - ARDENNE",,47.511486,-0.596012,,,0,place__ARD,,1
1ACAS,16233,"ACACIAS",,47.503646,-0.586375,,,0,place_1ACA,,1
1BAMA,24604,"BAMAKO",,47.452165,-0.556459,,,0,place__BAM,,1
1BASC,4827,"BASCULE",,47.508686,-0.591659,,,0,place_1BAS,,1
1BMAI,16196,"BERGES DE MAINE",,47.479341,-0.549382,,,0,place__BMA,,1
1BOTA,24128,"TERRA BOTANICA",,47.494224,-0.574617,,,0,place__BOT,,1
1BROY,32629,"BOIS DU ROY",,47.499605,-0.583159,,,0,place_1ROY,,1
1CAPU,29904,"CAPUCINS",,47.486888,-0.555233,,,0,place__CAP,,1
1CECO,519627,"CENTRE DE CONGRES",,47.474152,-0.546083,,,0,place__CCO,,1
1FMBL,11327,"FOCH MAISON BLEUE",,47.468992,-0.549756,,,0,place_CENTRE,,1
1HARA,24652,"FOCH HARAS",,47.466815,-0.552657,,,0,place_1HAR,,1
1HDVA,194430,"HÔTEL DE VILLE",,47.471695,-0.546791,,,0,place__HDV,,1
1HOPA,24731,"CHU - HOPITAL",,47.481385,-0.554158,,,0,place__HOP,,1
1HSAU,3016,"HAUTS DE SAINT AUBIN",,47.492152,-0.560422,,,0,place_1HSA,,1
1JE23,24624,"JEAN XXIII",,47.448607,-0.562932,,,0,place_1JEA,,1
1JMOU,4159,"JEAN MOULIN",,47.490467,-0.552195,,,0,place__MOU,,1
1JVIL,20509,"JEAN VILAR",,47.445072,-0.562326,,,0,place_1VIL,,1
1LAFA,31950,"PLACE LA FAYETTE",,47.460812,-0.554723,,,0,place_1LAF,,1
1LGAR,20910,"LES GARES",,47.464465,-0.555465,,,0,place_GARE,,1
1PMAY,17915,"PLATEAU DE MAYENNE",,47.495710,-0.580051,,,0,place_1MAY,,1
1STGI,23494,"SAINT GILLES",,47.506512,-0.589539,,,0,place_1STG,,1
1STRA,7319,"STRASBOURG",,47.456676,-0.554039,,,0,place_1STR,,1
1STSE,901361,"SAINT SERGE UNIVERSITE",,47.476135,-0.550670,,,0,place__SSE,,1
1VERN,25220,"VERNEAU",,47.492424,-0.567108,,,0,place__VER,,1
2ACAS,12080,"ACACIAS",,47.503703,-0.586270,,,0,place_2ACA,,1
2ANRO,32091,"ANGERS - ROSERAIE",,47.443924,-0.554027,,,0,place__ARO,,1
2BAMA,30251,"BAMAKO",,47.452110,-0.556370,,,0,place__BAM,,1
2BASC,3822,"BASCULE",,47.508781,-0.591492,,,0,place_2BAS,,1
2BMAI,28864,"BERGES DE MAINE",,47.479441,-0.549370,,,0,place__BMA,,1
2BOTA,22213,"TERRA BOTANICA",,47.494268,-0.574759,,,0,place__BOT,,1
2BROY,31784,"BOIS DU ROY",,47.499664,-0.583055,,,0,place_2ROY,,1
2CAPU,3726,"CAPUCINS",,47.486819,-0.555139,,,0,place__CAP,,1
2CECO,363258,"CENTRE DE CONGRES",,47.474266,-0.546100,,,0,place__CCO,,1
2FMBL,3788,"FOCH MAISON BLEUE",,47.468932,-0.549656,,,0,place_CENTRE,,1
2HARA,14426,"FOCH HARAS",,47.466749,-0.552567,,,0,place_2HAR,,1
2HDVA,184082,"HÔTEL DE VILLE",,47.471660,-0.546669,,,0,place__HDV,,1
2HOPA,13445,"CHU - HOPITAL",,47.481321,-0.554055,,,0,place__HOP,,1
